"GEO_ID","H011001","H011002","H011003","H011004","NAME"
"id","Total population in occupied housing units","Total population in occupied housing units!!Owned with a mortgage or a loan","Total population in occupied housing units!!Owned free and clear","Total population in occupied housing units!!Renter occupied","Geographic Area Name"
"8600000US92020","56389","19178","3839","33372","ZCTA5 92020"
"8600000US92021","63964","24764","7082","32118","ZCTA5 92021"
"8600000US92024","48595","27531","5208","15856","ZCTA5 92024"
"8600000US92025","48689","17115","2696","28878","ZCTA5 92025"
"8600000US92026","48381","23985","4214","20182","ZCTA5 92026"
"8600000US92027","53392","27544","4301","21547","ZCTA5 92027"
"8600000US92028","45972","24276","6019","15677","ZCTA5 92028"
"8600000US92029","18836","11648","2401","4787","ZCTA5 92029"
"8600000US92036","3332","1807","715","810","ZCTA5 92036"
"8600000US92037","37767","16627","6389","14751","ZCTA5 92037"
"8600000US92040","40980","21184","4974","14822","ZCTA5 92040"
"8600000US92054","40010","11750","3239","25021","ZCTA5 92054"
"8600000US92055","1445","0","5","1440","ZCTA5 92055"
"8600000US92056","51688","28450","5486","17752","ZCTA5 92056"
"8600000US92057","54010","32424","4363","17223","ZCTA5 92057"
"8600000US92058","39968","10201","2145","27622","ZCTA5 92058"
"8600000US92059","1618","527","477","614","ZCTA5 92059"
"8600000US92060","218","100","66","52","ZCTA5 92060"
"8600000US92061","2498","887","803","808","ZCTA5 92061"
"8600000US92064","47354","30578","4617","12159","ZCTA5 92064"
"8600000US92065","35218","22104","3070","10044","ZCTA5 92065"
"8600000US92066","378","202","65","111","ZCTA5 92066"
"8600000US92067","9535","6315","2287","933","ZCTA5 92067"
"8600000US92069","46243","23461","2857","19925","ZCTA5 92069"
"8600000US92070","1245","365","428","452","ZCTA5 92070"
"8600000US92071","52456","30799","5401","16256","ZCTA5 92071"
"8600000US92075","12056","5781","1495","4780","ZCTA5 92075"
"8600000US92078","42144","23252","5002","13890","ZCTA5 92078"
"8600000US92081","26380","12808","2175","11397","ZCTA5 92081"
"8600000US92082","18979","11808","2722","4449","ZCTA5 92082"
"8600000US92083","36398","14512","2475","19411","ZCTA5 92083"
"8600000US92084","46864","21046","4293","21525","ZCTA5 92084"
"8600000US92086","1421","605","455","361","ZCTA5 92086"
"8600000US92091","1048","594","232","222","ZCTA5 92091"
"8600000US92101","30336","7267","1296","21773","ZCTA5 92101"
"8600000US92102","42620","10905","2493","29222","ZCTA5 92102"
"8600000US92103","30252","9173","2411","18668","ZCTA5 92103"
"8600000US92104","44205","10979","1802","31424","ZCTA5 92104"
"8600000US92105","69223","17312","3089","48822","ZCTA5 92105"
"8600000US92106","17800","8140","2685","6975","ZCTA5 92106"
"8600000US92107","27557","8671","2454","16432","ZCTA5 92107"
"8600000US92108","18621","4437","672","13512","ZCTA5 92108"
"8600000US92109","45166","9745","3605","31816","ZCTA5 92109"
"8600000US92110","22508","7407","2426","12675","ZCTA5 92110"
"8600000US92111","44592","16391","4490","23711","ZCTA5 92111"
"8600000US92113","49205","13057","2375","33773","ZCTA5 92113"
"8600000US92114","64877","38639","5219","21019","ZCTA5 92114"
"8600000US92115","55370","15720","3194","36456","ZCTA5 92115"
"8600000US92116","31653","8698","1693","21262","ZCTA5 92116"
"8600000US92117","51141","22952","6543","21646","ZCTA5 92117"
"8600000US92118","17093","5716","2463","8914","ZCTA5 92118"
"8600000US92119","22987","12924","3456","6607","ZCTA5 92119"
"8600000US92120","26266","14328","4571","7367","ZCTA5 92120"
"8600000US92121","4179","1892","208","2079","ZCTA5 92121"
"8600000US92122","43371","11263","3551","28557","ZCTA5 92122"
"8600000US92123","25824","10071","2417","13336","ZCTA5 92123"
"8600000US92124","30421","10597","1829","17995","ZCTA5 92124"
"8600000US92126","69874","35564","4711","29599","ZCTA5 92126"
"8600000US92127","38894","26672","1835","10387","ZCTA5 92127"
"8600000US92128","47253","27420","5066","14767","ZCTA5 92128"
"8600000US92129","51488","33983","3078","14427","ZCTA5 92129"
"8600000US92130","48940","32050","3140","13750","ZCTA5 92130"
"8600000US92131","32729","24553","2375","5801","ZCTA5 92131"
"8600000US92132","0","0","0","0","ZCTA5 92132"
"8600000US92134","13","0","0","13","ZCTA5 92134"
"8600000US92135","0","0","0","0","ZCTA5 92135"
"8600000US92139","34783","18270","2182","14331","ZCTA5 92139"
"8600000US92140","19","0","0","19","ZCTA5 92140"
"8600000US92145","1449","1023","69","357","ZCTA5 92145"
"8600000US92147","2","0","0","2","ZCTA5 92147"
"8600000US92154","74272","38607","7534","28131","ZCTA5 92154"
"8600000US92155","0","0","0","0","ZCTA5 92155"
"8600000US92173","29381","9054","2065","18262","ZCTA5 92173"
"8600000US92201","60799","28095","6525","26179","ZCTA5 92201"
"8600000US92203","25584","15772","2954","6858","ZCTA5 92203"
"8600000US92210","4671","2392","1595","684","ZCTA5 92210"
"8600000US92211","24238","11699","6575","5964","ZCTA5 92211"
"8600000US92220","30233","12775","6400","11058","ZCTA5 92220"
"8600000US92222","45","2","19","24","ZCTA5 92222"
"8600000US92223","42971","27498","4477","10996","ZCTA5 92223"
"8600000US92225","16458","6274","2615","7569","ZCTA5 92225"
"8600000US92227","26060","10838","2830","12392","ZCTA5 92227"
"8600000US92230","2541","934","459","1148","ZCTA5 92230"
"8600000US92231","38969","19199","3165","16605","ZCTA5 92231"
"8600000US92233","3935","1540","551","1844","ZCTA5 92233"
"8600000US92234","50856","24429","5773","20654","ZCTA5 92234"
"8600000US92236","41025","22614","3067","15344","ZCTA5 92236"
"8600000US92239","222","76","80","66","ZCTA5 92239"
"8600000US92240","34528","13949","3548","17031","ZCTA5 92240"
"8600000US92241","8794","2853","4099","1842","ZCTA5 92241"
"8600000US92242","1539","372","835","332","ZCTA5 92242"
"8600000US92243","46388","18594","5864","21930","ZCTA5 92243"
"8600000US92249","7334","4068","816","2450","ZCTA5 92249"
"8600000US92250","8270","3196","1282","3792","ZCTA5 92250"
"8600000US92251","17048","11222","1220","4606","ZCTA5 92251"
"8600000US92252","9469","4117","1627","3725","ZCTA5 92252"
"8600000US92253","37205","22637","4739","9829","ZCTA5 92253"
"8600000US92254","12768","4701","2335","5732","ZCTA5 92254"
