"GEO_ID","H001001","NAME"
"id","Total","Geographic Area Name"
"8600000US92086","846","ZCTA5 92086"
"8600000US92091","620","ZCTA5 92091"
"8600000US92101","25169","ZCTA5 92101"
"8600000US92102","14987","ZCTA5 92102"
"8600000US92103","19080","ZCTA5 92103"
"8600000US92104","22325","ZCTA5 92104"
"8600000US92105","21744","ZCTA5 92105"
"8600000US92106","8322","ZCTA5 92106"
"8600000US92107","14493","ZCTA5 92107"
"8600000US92108","11601","ZCTA5 92108"
"8600000US92109","26216","ZCTA5 92109"
"8600000US92110","11426","ZCTA5 92110"
"8600000US92111","17268","ZCTA5 92111"
"8600000US92113","13196","ZCTA5 92113"
"8600000US92114","17930","ZCTA5 92114"
"8600000US92115","22754","ZCTA5 92115"
"8600000US92116","17122","ZCTA5 92116"
"8600000US92117","21466","ZCTA5 92117"
"8600000US92118","9633","ZCTA5 92118"
"8600000US92119","9853","ZCTA5 92119"
"8600000US92120","11411","ZCTA5 92120"
"8600000US92121","1752","ZCTA5 92121"
"8600000US92122","21058","ZCTA5 92122"
"8600000US92123","10760","ZCTA5 92123"
"8600000US92124","11445","ZCTA5 92124"
"8600000US92126","23820","ZCTA5 92126"
"8600000US92127","13748","ZCTA5 92127"
"8600000US92128","21265","ZCTA5 92128"
"8600000US92129","17439","ZCTA5 92129"
"8600000US92130","18272","ZCTA5 92130"
"8600000US92131","11832","ZCTA5 92131"
"8600000US92132","0","ZCTA5 92132"
"8600000US92134","13","ZCTA5 92134"
"8600000US92135","0","ZCTA5 92135"
"8600000US92139","10629","ZCTA5 92139"
"8600000US92140","7","ZCTA5 92140"
"8600000US92145","407","ZCTA5 92145"
"8600000US92147","1","ZCTA5 92147"
"8600000US92154","21206","ZCTA5 92154"
"8600000US92155","0","ZCTA5 92155"
"8600000US92173","7870","ZCTA5 92173"
"8600000US92201","22207","ZCTA5 92201"
"8600000US92203","11667","ZCTA5 92203"
"8600000US92210","4830","ZCTA5 92210"
"8600000US92211","19948","ZCTA5 92211"
"8600000US92220","13061","ZCTA5 92220"
"8600000US92222","25","ZCTA5 92222"
"8600000US92223","15916","ZCTA5 92223"
"8600000US92225","8288","ZCTA5 92225"
"8600000US92227","8709","ZCTA5 92227"
"8600000US92230","938","ZCTA5 92230"
"8600000US92231","10826","ZCTA5 92231"
"8600000US92233","1270","ZCTA5 92233"
"8600000US92234","20958","ZCTA5 92234"
"8600000US92236","9968","ZCTA5 92236"
"8600000US92239","171","ZCTA5 92239"
"8600000US92240","14481","ZCTA5 92240"
"8600000US92241","6283","ZCTA5 92241"
"8600000US92242","1681","ZCTA5 92242"
"8600000US92243","16217","ZCTA5 92243"
"8600000US92249","2006","ZCTA5 92249"
"8600000US92250","2828","ZCTA5 92250"
"8600000US92251","5572","ZCTA5 92251"
"8600000US92252","5343","ZCTA5 92252"
"8600000US92253","23339","ZCTA5 92253"
"8600000US92254","3093","ZCTA5 92254"
"8600000US92256","2030","ZCTA5 92256"
"8600000US92257","1832","ZCTA5 92257"
"8600000US92258","483","ZCTA5 92258"
"8600000US92259","526","ZCTA5 92259"
"8600000US92260","22799","ZCTA5 92260"
"8600000US92262","18306","ZCTA5 92262"
"8600000US92264","17140","ZCTA5 92264"
"8600000US92266","293","ZCTA5 92266"
"8600000US92267","144","ZCTA5 92267"
"8600000US92268","482","ZCTA5 92268"
"8600000US92270","14244","ZCTA5 92270"
"8600000US92273","583","ZCTA5 92273"
"8600000US92274","5980","ZCTA5 92274"
"8600000US92275","986","ZCTA5 92275"
"8600000US92276","3552","ZCTA5 92276"
"8600000US92277","11910","ZCTA5 92277"
"8600000US92278","141","ZCTA5 92278"
"8600000US92280","17","ZCTA5 92280"
"8600000US92281","746","ZCTA5 92281"
"8600000US92282","607","ZCTA5 92282"
"8600000US92283","1649","ZCTA5 92283"
"8600000US92284","11943","ZCTA5 92284"
"8600000US92285","2517","ZCTA5 92285"
"8600000US92301","9470","ZCTA5 92301"
"8600000US92304","23","ZCTA5 92304"
"8600000US92305","629","ZCTA5 92305"
"8600000US92307","14125","ZCTA5 92307"
"8600000US92308","15613","ZCTA5 92308"
"8600000US92309","317","ZCTA5 92309"
"8600000US92310","2487","ZCTA5 92310"
"8600000US92311","13151","ZCTA5 92311"
"8600000US92313","4645","ZCTA5 92313"
"8600000US92314","9153","ZCTA5 92314"
"8600000US92315","10066","ZCTA5 92315"
"8600000US92316","7527","ZCTA5 92316"
"8600000US92320","3654","ZCTA5 92320"
"8600000US92321","1393","ZCTA5 92321"
"8600000US92322","886","ZCTA5 92322"
"8600000US92324","17685","ZCTA5 92324"
"8600000US92325","6309","ZCTA5 92325"
"8600000US92327","369","ZCTA5 92327"
"8600000US92328","331","ZCTA5 92328"
"8600000US92332","93","ZCTA5 92332"
"8600000US92333","992","ZCTA5 92333"
"8600000US92335","24246","ZCTA5 92335"
"8600000US92336","23271","ZCTA5 92336"
"8600000US92337","9851","ZCTA5 92337"
"8600000US92338","5","ZCTA5 92338"
"8600000US92339","716","ZCTA5 92339"
"8600000US92341","1096","ZCTA5 92341"
"8600000US92342","3107","ZCTA5 92342"
"8600000US92344","6421","ZCTA5 92344"
"8600000US92345","25758","ZCTA5 92345"
"8600000US92346","17999","ZCTA5 92346"
"8600000US92347","790","ZCTA5 92347"
"8600000US92352","8544","ZCTA5 92352"
"8600000US92354","8594","ZCTA5 92354"
"8600000US92356","3494","ZCTA5 92356"
"8600000US92358","457","ZCTA5 92358"
"8600000US92359","3058","ZCTA5 92359"
"8600000US92363","3976","ZCTA5 92363"
"8600000US92364","100","ZCTA5 92364"
"8600000US92365","1393","ZCTA5 92365"
"8600000US92368","474","ZCTA5 92368"
